id,title,url,rank
44835879,Ultrathin business card runs a fluid simulation,https://github.com/Nicholas-L-Johnson/flip-card,1
44835879,Ultrathin business card runs a fluid simulation,https://github.com/Nicholas-L-Johnson/flip-card,1
44836463,"HorizonDB, a geocoding engine in Rust that replaces Elasticsearch",https://radar.com/blog/high-performance-geocoding-in-rust,2
44836463,"HorizonDB, a geocoding engine in Rust that replaces Elasticsearch",https://radar.com/blog/high-performance-geocoding-in-rust,2
44836879,Getting Good Results from Claude Code,https://www.dzombak.com/blog/2025/08/getting-good-results-from-claude-code/,3
44836879,Getting Good Results from Claude Code,https://www.dzombak.com/blog/2025/08/getting-good-results-from-claude-code/,3
44826997,GPT-5,https://openai.com/gpt-5/,4
44826997,GPT-5,https://openai.com/gpt-5/,4
44836675,The Rise of Ritual Features: Why Platforms Are Adding Daily Puzzle Games,https://productpickle.online/2025/07/20/ritual-features-the-quiet-strategy-behind-daily-puzzle-games-on-linkedin-and-beyond/,5
44836675,The Rise of Ritual Features: Why Platforms Are Adding Daily Puzzle Games,https://productpickle.online/2025/07/20/ritual-features-the-quiet-strategy-behind-daily-puzzle-games-on-linkedin-and-beyond/,5
44836219,"Food, housing, & health care costs are a source of major stress for many people",https://apnorc.org/projects/food-housing-and-health-care-costs-are-a-source-of-major-stress-for-many-people/,6
44836219,"Food, housing, & health care costs are a source of major stress for many people",https://apnorc.org/projects/food-housing-and-health-care-costs-are-a-source-of-major-stress-for-many-people/,6
44784685,Window Activation,https://blog.broulik.de/2025/08/on-window-activation/,7
44784685,Window Activation,https://blog.broulik.de/2025/08/on-window-activation/,7
44836972,What Does Consulting Do?,https://www.nber.org/papers/w34072,8
44836972,What Does Consulting Do?,https://www.nber.org/papers/w34072,8
44833834,Linear sent me down a local-first rabbit hole,https://bytemash.net/posts/i-went-down-the-linear-rabbit-hole/,9
44833834,Linear sent me down a local-first rabbit hole,https://bytemash.net/posts/i-went-down-the-linear-rabbit-hole/,9
44837434,Astronomy Photographer of the Year 2025 shortlist,https://www.rmg.co.uk/whats-on/astronomy-photographer-year/galleries/2025-shortlist,10
44837434,Astronomy Photographer of the Year 2025 shortlist,https://www.rmg.co.uk/whats-on/astronomy-photographer-year/galleries/2025-shortlist,10
44825221,Show HN: Trayce – “Burp Suite for developers”,https://trayce.dev?resubmit=hn,11
44825221,Show HN: Trayce – “Burp Suite for developers”,https://trayce.dev?resubmit=hn,11
44789202,"Telefon Hírmondó: Listen to news and music electronically, in 1893",https://en.wikipedia.org/wiki/Telefon_H%C3%ADrmond%C3%B3,12
44789202,"Telefon Hírmondó: Listen to news and music electronically, in 1893",https://en.wikipedia.org/wiki/Telefon_H%C3%ADrmond%C3%B3,12
44836433,"Show HN: Synchrotron, a real-time DSP engine in pure Python",https://synchrotron.thatother.dev/,13
44836433,"Show HN: Synchrotron, a real-time DSP engine in pure Python",https://synchrotron.thatother.dev/,13
44834918,How Attention Sinks Keep Language Models Stable,https://hanlab.mit.edu/blog/streamingllm,14
44834918,How Attention Sinks Keep Language Models Stable,https://hanlab.mit.edu/blog/streamingllm,14
44830408,Flipper Zero dark web firmware bypasses rolling code security,https://www.rtl-sdr.com/flipperzero-darkweb-firmware-bypasses-rolling-code-security/,15
44830408,Flipper Zero dark web firmware bypasses rolling code security,https://www.rtl-sdr.com/flipperzero-darkweb-firmware-bypasses-rolling-code-security/,15
44790282,Show HN: Aha Domain Search,https://www.ahadomainsearch.com/,16
44790282,Show HN: Aha Domain Search,https://www.ahadomainsearch.com/,16
44829185,Historical Tech Tree,https://www.historicaltechtree.com/,17
44829185,Historical Tech Tree,https://www.historicaltechtree.com/,17
44786553,Complex Iterators Are Slow,https://caolan.uk/notes/2025-07-31_complex_iterators_are_slow.cm,18
44786553,Complex Iterators Are Slow,https://caolan.uk/notes/2025-07-31_complex_iterators_are_slow.cm,18
44828158,Exit Tax: Leave Germany before your business gets big,https://eidel.io/exit-tax-leave-germany-before-your-business-gets-big/,19
44828158,Exit Tax: Leave Germany before your business gets big,https://eidel.io/exit-tax-leave-germany-before-your-business-gets-big/,19
44830221,Cursor CLI,https://cursor.com/cli,20
44830221,Cursor CLI,https://cursor.com/cli,20
